FIPS,Snow_Prob,Hover_county_name,Standardized_Jan_Temp,Standardized_Jan_Sun,Standardized_Jul_Temp,Standardized_Jul_Hum,Standardized_Topog,Standardized_LN_Water,Natural_Amenity_Rank,Urban_influence,Forest_Percent
01001,0.1,"AUTAUGA, AL",1.20277,-0.64758,-0.13206,-0.68502,0.77701,0.26585,4,2,79.58047270633617
01003,0.0999999999999999,"BALDWIN, AL",1.57504,0.01482,0.36308,-1.09576,-0.73966,1.70428,4,2,56.41613407267103
01005,0.0,"BARBOUR, AL",1.31859,0.01482,-0.01148,-0.89039,-0.73966,0.4957,4,5,75.91821226573357
01007,0.0,"BIBB, AL",0.98768,-0.64758,-0.30223,-0.68502,0.77701,-0.27812,3,6,84.53481775534873
01009,0.136,"BLOUNT, AL",0.74778,-0.64758,0.0933,-0.68502,0.77701,-0.05592,4,2,57.35079262477258
01011,0.4,"BULLOCK, AL",1.23586,-0.07551,0.11749,-0.75347,-0.73966,-0.86356,3,6,80.28648607324243
01013,0.0,"BUTLER, AL",1.35168,0.01482,0.07675,-0.89039,-0.73966,-0.97346,3,8,83.41898000736886
01015,0.0,"CALHOUN, AL",0.82223,-0.64758,-0.04428,-0.68502,0.92868,-0.15897,4,2,53.41651016966986
01017,0.05,"CHAMBERS, AL",0.93805,-0.07551,0.0763,-0.75347,-0.588,0.06137,3,8,82.0463639001848
01019,0.24,"CHEROKEE, AL",0.82223,-0.64758,-0.04428,-0.68502,0.01867,1.17434,4,6,64.83872608325576
01021,0.0,"CHILTON, AL",0.97114,-0.64758,-0.10435,-0.68502,0.77701,0.06603,4,6,75.64319489491261
01023,0.0,"CHOCTAW, AL",1.20277,0.01482,0.00238,-0.89039,0.62534,-0.03413,4,9,90.07300797276224
01025,0.0,"CLARKE, AL",1.20277,0.01482,0.00238,-0.89039,0.77701,0.15046,4,8,89.33401980331774
01027,0.2,"CLAY, AL",0.93805,-0.07551,0.0763,-0.75347,0.92868,-0.9055,4,9,81.71255057497382
01029,0.0,"CLEBURNE, AL",0.93805,-0.07551,0.0763,-0.75347,0.92868,-0.90609,4,4,76.02987080274178
01031,0.0,"COFFEE, AL",1.45922,0.01482,0.26938,-0.89039,-0.73966,-0.77748,3,5,56.253788843677654
01033,0.4,"COLBERT, AL",0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.90165,4,2,53.9239337015337
01035,0.0,"CONECUH, AL",1.2855,0.01482,0.08851,-0.89039,-0.73966,-0.76377,3,8,83.74882903520793
01037,0.0791666666666666,"COOSA, AL",0.93805,-0.07551,0.0763,-0.75347,0.92868,0.47658,4,6,84.52446671435997
01039,0.0,"COVINGTON, AL",1.35168,0.01482,0.07675,-0.89039,-0.73966,0.02092,3,8,75.64960955502158
01041,0.0,"CRENSHAW, AL",1.29377,0.01482,0.15089,-0.89039,-0.73966,-0.73652,3,6,81.45015126254795
01043,0.3,"CULLMAN, AL",0.66505,-0.64758,0.03406,-0.68502,0.77701,0.49675,4,5,48.10586336164062
01045,0.0,"DALE, AL",1.45922,0.01482,0.26938,-0.89039,-0.73966,-0.57903,3,2,74.09487844323249
01047,0.05,"DALLAS, AL",1.3434,-0.07551,-0.17386,-0.75347,-0.73966,0.215,3,5,66.4371185623956
01049,0.95,"DE KALB, AL",0.55751,-0.64758,0.32541,-0.68502,0.01867,-1.16637,3,5,38.303733960992794
01051,0.0,"ELMORE, AL",1.08696,-0.07551,0.0969,-0.75347,0.77701,0.98215,4,2,58.71601844912626
01053,0.0,"ESCAMBIA, AL",1.45922,0.01482,0.32316,-0.89039,-0.73966,-0.19763,3,6,74.85907699316803
01055,0.15,"ETOWAH, AL",0.82223,-0.64758,-0.04428,-0.68502,0.92868,0.58125,4,2,55.25061532652455
01057,0.1,"FAYETTE, AL",0.89669,-0.64758,-0.07432,-0.68502,0.77701,-0.64831,3,6,81.55178187248795
01059,0.4,"FRANKLIN, AL",0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.36168,4,6,71.8717765577951
01061,0.0,"GENEVA, AL",1.40131,0.01482,0.04776,-0.89039,-0.73966,-0.34118,3,6,55.28803831948601
01063,0.0,"GREENE, AL",1.20277,-0.07551,-0.15895,-0.75347,-0.73966,0.48587,3,6,82.48790928266142
01065,0.0333333333333333,"HALE, AL",1.20277,-0.07551,-0.15895,-0.75347,0.77701,0.43761,4,6,68.70354205761724
01067,0.0,"HENRY, AL",1.46749,0.01482,0.06289,-0.89039,-0.73966,0.15115,4,6,68.59040116903793
01069,0.0,"HOUSTON, AL",1.46749,0.01482,0.06289,-0.89039,-0.73966,-0.70651,3,2,46.81679882728084
01071,0.0,"JACKSON, AL",0.6816,-0.64758,-0.02938,-0.68502,1.08035,0.85402,4,5,62.01934908186543
01073,0.08,"JEFFERSON, AL",0.93805,-0.64758,-0.11192,-0.68502,0.92868,0.08485,4,2,54.26134608912035
01075,0.0,"LAMAR, AL",0.89669,-0.64758,-0.07432,-0.68502,0.77701,-1.11966,3,9,83.7140339002096
01077,0.5499999999999999,"LAUDERDALE, AL",0.69815,-0.64758,-0.41547,-0.61656,0.77701,1.10611,4,2,39.668796244117274
01079,0.2875,"LAWRENCE, AL",0.69815,-0.64758,-0.41547,-0.61656,0.77701,0.74015,4,2,52.648038126238106
01081,0.0,"LEE, AL",1.08696,-0.07551,0.0969,-0.75347,-0.73966,0.14089,3,5,61.90844061931148
01083,0.4499999999999999,"LIMESTONE, AL",0.68987,-0.64758,-0.18209,-0.61656,-0.73966,1.07166,3,2,26.13431282183421
01085,0.0,"LOWNDES, AL",1.21104,-0.07551,-0.12345,-0.75347,-0.73966,0.0748,3,6,65.04965623726233
01087,0.0,"MACON, AL",1.23586,-0.07551,0.11749,-0.75347,-0.73966,-0.3437,3,5,81.4292830349235
01089,1.0,"MADISON, AL",0.66505,-0.64758,-0.2886,-0.61656,-0.43633,0.07356,3,2,38.30570268107858
01091,0.1,"MARENGO, AL",1.20277,-0.07551,-0.15895,-0.75347,-0.73966,-0.19255,3,8,74.61960925467432
01093,0.1,"MARION, AL",0.70642,-0.64758,0.10401,-0.68502,0.77701,-0.56772,3,8,76.99031794221894
01095,0.15,"MARSHALL, AL",0.66505,-0.64758,0.22228,-0.68502,-0.43633,1.24995,4,5,39.71097468376507
01097,0.0,"MOBILE, AL",1.51713,0.01482,0.0339,-1.09576,-0.73966,1.79023,4,2,47.50133811869533
01099,0.0,"MONROE, AL",1.2855,0.01482,0.08851,-0.89039,0.77701,-0.00811,4,8,86.71624905018457
01101,0.08,"MONTGOMERY, AL",1.21104,-0.07551,-0.12345,-0.75347,-0.73966,0.20173,3,2,50.383209865540536
