COUNTY_CODE_AND_NAME,ALL_LIVE_STOCKING,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Total,Total,2010546053.935554,26228201572.621456,353819,161951.2320812085,0.008055086913537554
01001 AL Autauga,Total,383453.02017991606,2205299905.7124267,64,46960.6207977751,12.246772962106593
01003 AL Baldwin,Total,1288822.8382599135,5242621443.695104,216,72405.94895238307,5.617990836517219
01005 AL Barbour,Total,574946.0011376863,3235442065.9331822,96,56880.94642262189,9.893267595577244
01007 AL Bibb,Total,379105.76512729557,2093363288.2985246,64,45753.28718571513,12.068739490245463
01009 AL Blount,Total,411224.9523083785,2304573251.0234737,69,48005.970993444906,11.673895449185954
01011 AL Bullock,Total,408038.11707795877,2334989347.3758383,68,48321.72748749612,11.842454286755737
01013 AL Butler,Total,486522.39835456124,2752004349.182372,81,52459.549647155494,10.782555916146071
01015 AL Calhoun,Total,364575.0665979635,2075152353.7041848,61,45553.84016418577,12.495050906599829
01017 AL Chambers,Total,378338.09388227767,2171258401.6236153,63,46596.763853551194,12.316170273895304
01019 AL Cherokee,Total,394012.92237929365,2221833515.096895,66,47136.32903713329,11.963142922444012
01021 AL Chilton,Total,444487.38917266007,2528418530.994774,75,50283.38225492368,11.312667913597705
01023 AL Choctaw,Total,589508.2054133072,3080972591.1017523,97,55506.50944800756,9.415731441616094
01025 AL Clarke,Total,823512.8988011346,4032489292.813837,136,63501.884167431104,7.711097696208133
01027 AL Clay,Total,369988.4048302488,2046727887.0155349,63,45240.77681710975,12.227620170385144
01029 AL Cleburne,Total,338611.49819167604,1877111748.7330933,58,43325.647701253045,12.795090518966349
01031 AL Coffee,Total,428229.1285417738,2441450108.2378006,72,49411.032252299694,11.538456624974692
01033 AL Colbert,Total,421194.03186799877,2288235112.1630487,70,47835.500542620524,11.35711736713593
01035 AL Conecuh,Total,535502.7776740397,2825212423.026306,88,53152.727333847186,9.925761275173297
01037 AL Coosa,Total,444479.81707112445,2463901781.384123,74,49637.70523890204,11.167594867633584
01039 AL Covington,Total,650536.9644545193,3264899360.901402,111,57139.29786846704,8.783405246830027
01041 AL Crenshaw,Total,390739.5811339872,2237296518.704044,65,47300.06890802638,12.10526683034112
01043 AL Cullman,Total,490352.35481790535,2696396308.3049684,82,51926.836109135016,10.589698529829288
01045 AL Dale,Total,358952.8655909025,2069596236.728872,60,45492.81522096508,12.673757359779126
01047 AL Dallas,Total,649742.2338141963,3622637097.499921,109,60188.34685800833,9.263419203132809
01049 AL DeKalb,Total,484100.1878998897,2599855672.8978133,81,50988.77987261328,10.532691609522281
01051 AL Elmore,Total,404375.1251116197,2306149740.6534257,68,48022.387910779966,11.875702764240096
01053 AL Escambia,Total,630965.6856898835,3234209456.456768,107,56870.11039603113,9.013185928463074
01055 AL Etowah,Total,353521.7245287373,2004506668.745924,59,44771.71728609395,12.664488256210268
01057 AL Fayette,Total,415805.27141409053,2292336778.394445,68,47878.35396496463,11.51460966383077
01059 AL Franklin,Total,416160.12924839836,2224456123.7753577,70,47164.14023148686,11.33317127632269
01061 AL Geneva,Total,356552.4760704641,2050082519.239605,60,45277.83695407285,12.698786291733608
01063 AL Greene,Total,420751.1257532501,2306403964.4127655,70,48025.03476742902,11.414119137875662
01065 AL Hale,Total,420530.11564554414,2314028473.9684167,71,48104.349844566204,11.438978578436066
01067 AL Henry,Total,393033.8067566216,2256472100.3374624,66,47502.33784075751,12.0860691940865
01069 AL Houston,Total,374396.619282012,2143486030.9818673,63,46297.79725842113,12.365976313356503
01071 AL Jackson,Total,724719.4549063119,3632265323.8077464,121,60268.27792303134,8.31608390184896
01073 AL Jefferson,Total,708018.8313208569,3792332329.9484634,118,61581.91560798075,8.69777933633425
01075 AL Lamar,Total,404641.154999273,2227392547.4362607,66,47195.25979837658,11.663484847076756
01077 AL Lauderdale,Total,455286.2272802497,2469103708.726016,76,49690.07656188523,10.914030248338413
01079 AL Lawrence,Total,425647.41940821195,2296447669.1925716,73,47921.26531293359,11.258441406636436
01081 AL Lee,Total,400617.2092605183,2299307605.9295,67,47951.095982568535,11.96930508079754
01083 AL Limestone,Total,376943.70058950206,2059492894.4859526,63,45381.636093093344,12.03936715804536
01085 AL Lowndes,Total,479996.16704290704,2728032351.4999986,80,52230.56912862427,10.881455460446492
01087 AL Macon,Total,405516.101849764,2314803876.775177,68,48112.408760892205,11.864487881350994
01089 AL Madison,Total,542017.959425671,2841509172.991125,91,53305.80806057746,9.834694060149033
01091 AL Marengo,Total,641157.5355069301,3246047154.6752343,108,56974.09196007633,8.88612997662577
01093 AL Marion,Total,474219.60155552183,2571208868.744458,78,50707.08893975731,10.692744199824162
01095 AL Marshall,Total,388261.5209270141,2133878420.4448419,65,46193.921899367255,11.897630697235858
01097 AL Mobile,Total,1045075.5319050483,4584554212.995926,176,67709.33623213216,6.478894028712556
01099 AL Monroe,Total,661596.1433526312,3417417398.044573,110,58458.68111790218,8.836006936446674
01101 AL Montgomery,Total,508342.5095930115,2872499476.1988087,85,53595.703896849875,10.543226837306916
01103 AL Morgan,Total,394553.5411299269,2166897941.883608,66,46549.95104061451,11.798132873755037
01105 AL Perry,Total,443925.05732386286,2423158406.5819864,75,49225.586909472055,11.088715560734798
01107 AL Pickens,Total,571994.1796727044,3031284311.018818,94,55057.10045960301,9.625465156150144
01109 AL Pike,Total,425927.1808910459,2437245143.2197423,71,49368.46304291579,11.59082238884972
01111 AL Randolph,Total,379580.99103180354,2156428475.814038,63,46437.36077571633,12.23384781453019
01113 AL Russell,Total,400043.8691111036,2293813187.207762,67,47893.76981620638,11.97212943736051
01115 AL St. Clair,Total,443285.6032607169,2478471734.4485955,74,49784.25187193834,11.23073961927383
01117 AL Shelby,Total,509365.4482924359,2827261297.261784,85,53171.99730367277,10.438870065082579
01119 AL Sumter,Total,568456.6766003874,2980997865.163931,94,54598.5152285658,9.604692402433924
01121 AL Talladega,Total,468566.8249168162,2613303648.7720876,79,51120.48169542309,10.909966087440871
01123 AL Tallapoosa,Total,509113.7993388146,2881684425.909073,85,53681.32287778565,10.544071472331238
01125 AL Tuscaloosa,Total,889467.5124919502,4308482513.352691,147,65639.03193491424,7.379587338835861
01127 AL Walker,Total,529652.041445914,2902844255.9123793,88,53878.04985253623,10.172348190229348
01129 AL Washington,Total,721584.7445588066,3364829190.57654,120,58007.14775419095,8.038854506224052
01131 AL Wilcox,Total,573215.69265157,3023858312.194756,95,54989.620040465416,9.593181196086155
01133 AL Winston,Total,402986.364277489,2188632089.557502,69,46782.81831567549,11.609032578447666
02020 AK Anchorage Borough,Total,869915.1767195554,4810348997.782981,137,69356.67954698365,7.972809465001777
02100 AK Haines Borough,Total,1670403.872571841,9056269930.670969,257,95164.43627044174,5.697091453932132
02110 AK Juneau Borough,Total,2113484.0613759533,9479081934.64869,322,97360.57690178654,4.606638804666516
02122 AK Kenai Peninsula Borough,Total,6771542.759247525,17933816579.53567,1079,133917.2004618364,1.9776468261823055
02130 AK Ketchikan Gateway Borough,Total,890202.6387704691,5570523929.233349,139,74635.94260966594,8.384152030008773
02150 AK Kodiak Island Borough,Total,5247791.892675144,11481348403.502771,820,107151.05414088455,2.041831237447616
02201 AK Prince of Wales-Outer Ketchikan Census Area,Total,5394780.473713779,22367449595.278824,855,149557.51266746456,2.7722631791263384
