COUNTY_CODE_AND_NAME,ALL_LIVE_STOCKING,ESTIMATE,VARIANCE,PLOT_COUNT,SE,SE_PERCENT
Total,Total,696272995.7475355,777016337882.4712,141315,881485.3021363835,0.12660052989560505
01001 AL Autauga,Total,305153.7260658998,1667399656.2011676,57,40833.80531130019,13.38138840306406
01003 AL Baldwin,Total,727104.0203919169,3165848354.266005,132,56265.87202084409,7.738352483667492
01005 AL Barbour,Total,436488.7255570557,2418436951.8803577,75,49177.60620323398,11.266638362874673
01007 AL Bibb,Total,320476.3676503797,1699926830.8365989,59,41230.168940189884,12.865275914874791
01009 AL Blount,Total,235840.7696196981,1263172950.8489609,46,35541.1444786034,15.069974769805405
01011 AL Bullock,Total,327599.46604131605,1856994270.7432065,55,43092.85637716774,13.154129003291166
01013 AL Butler,Total,405852.022214763,2218924894.3731174,71,47105.465652863655,11.6065617699293
01015 AL Calhoun,Total,194743.27752538183,1066910682.9612797,37,32663.59874479969,16.77264507399619
01017 AL Chambers,Total,310412.6492796764,1723419698.3185453,57,41514.09035879921,13.373839775902862
01019 AL Cherokee,Total,255472.95947414136,1379272350.1946204,50,37138.55611348697,14.537176924685873
01021 AL Chilton,Total,336224.462075184,1832809379.9382188,63,42811.32303419527,12.732959038721617
01023 AL Choctaw,Total,530987.7728620158,2675176031.6717277,95,51722.10389835015,9.740733504948489
01025 AL Clarke,Total,735677.1760978815,3510982836.1609254,129,59253.54703442592,8.054286439700865
01027 AL Clay,Total,302326.9624184559,1601044073.5365417,55,40013.04879082,13.235024911683945
01029 AL Cleburne,Total,257445.88459835958,1365376315.0138607,48,36950.99883648426,14.352918825690836
01031 AL Coffee,Total,240895.1097370104,1317514865.0593948,45,36297.587592833144,15.067797612188924
01033 AL Colbert,Total,227124.39049931636,1186507207.776619,41,34445.71392461795,15.166012707350173
01035 AL Conecuh,Total,448477.3057530212,2294970177.9811378,81,47905.84701245911,10.681888781868732
01037 AL Coosa,Total,375694.1950323307,2012652163.712192,68,44862.59203069069,11.941252386619922
01039 AL Covington,Total,492128.67362093343,2371234628.1512613,93,48695.32449990719,9.894835865104499
01041 AL Crenshaw,Total,318257.9798762788,1753218592.9210894,57,41871.45319810491,13.156450378520667
01043 AL Cullman,Total,235888.23379928875,1200356994.0892801,51,34646.168534042554,14.687535692654382
01045 AL Dale,Total,265965.68942807894,1442920024.7416282,50,37985.787141266774,14.282213327196361
01047 AL Dallas,Total,431670.0182290952,2303727366.7883186,82,47997.1599866942,11.118946871408896
01049 AL DeKalb,Total,185428.44807783994,913396755.9768894,41,30222.454499542047,16.29871511778772
01051 AL Elmore,Total,237432.97306421603,1288671299.7578194,44,35898.06818977617,15.119243012665805
01053 AL Escambia,Total,472335.08845106047,2346836615.4896884,88,48444.159766577526,10.256311874995694
01055 AL Etowah,Total,195322.92811506847,1025980482.9017293,39,32030.93009735636,16.398960637373982
